"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20097","Realizar login com sucesso","","Fri Nov 08 17:36:57 BRT 2024","passed","Fri Nov 08 17:37:17 BRT 2024","","Login","",""
"","31283","Realizar logout com sucesso","","Fri Nov 08 17:37:34 BRT 2024","passed","Fri Nov 08 17:38:06 BRT 2024","","Logout","",""
